LESSON 5 — Sub TABLE — 400 problems — sealed for Shakti ingest
card,left,operator,right,answer
math_Sub_10-2,10,-,2,8
math_Sub_10-3,10,-,3,7
math_Sub_10-4,10,-,4,6
math_Sub_10-5,10,-,5,5
math_Sub_10-6,10,-,6,4
math_Sub_10-7,10,-,7,3
math_Sub_10-8,10,-,8,2
math_Sub_10-9,10,-,9,1
math_Sub_10-10,10,-,10,0
math_Sub_10-11,10,-,11,-1
math_Sub_10-12,10,-,12,-2
math_Sub_10-13,10,-,13,-3
math_Sub_10-14,10,-,14,-4
math_Sub_10-15,10,-,15,-5
math_Sub_10-16,10,-,16,-6
math_Sub_10-17,10,-,17,-7
math_Sub_10-18,10,-,18,-8
math_Sub_10-19,10,-,19,-9
math_Sub_10-20,10,-,20,-10
math_Sub_11-1,11,-,1,10
math_Sub_11-2,11,-,2,9
math_Sub_11-3,11,-,3,8
math_Sub_11-4,11,-,4,7
math_Sub_11-5,11,-,5,6
math_Sub_11-6,11,-,6,5
math_Sub_11-7,11,-,7,4
math_Sub_11-8,11,-,8,3
math_Sub_11-9,11,-,9,2
math_Sub_11-10,11,-,10,1
math_Sub_11-11,11,-,11,0
math_Sub_11-12,11,-,12,-1
math_Sub_11-13,11,-,13,-2
math_Sub_11-14,11,-,14,-3
math_Sub_11-15,11,-,15,-4
math_Sub_11-16,11,-,16,-5
math_Sub_11-17,11,-,17,-6
math_Sub_11-18,11,-,18,-7
math_Sub_11-19,11,-,19,-8
math_Sub_11-20,11,-,20,-9
math_Sub_12-1,12,-,1,11
math_Sub_12-2,12,-,2,10
math_Sub_12-3,12,-,3,9
math_Sub_12-4,12,-,4,8
math_Sub_12-5,12,-,5,7
math_Sub_12-6,12,-,6,6
math_Sub_12-7,12,-,7,5
math_Sub_12-8,12,-,8,4
math_Sub_12-9,12,-,9,3
math_Sub_12-10,12,-,10,2
math_Sub_12-11,12,-,11,1
math_Sub_12-12,12,-,12,0
math_Sub_12-13,12,-,13,-1
math_Sub_12-14,12,-,14,-2
math_Sub_12-15,12,-,15,-3
math_Sub_12-16,12,-,16,-4
math_Sub_12-17,12,-,17,-5
math_Sub_12-18,12,-,18,-6
math_Sub_12-19,12,-,19,-7
math_Sub_12-20,12,-,20,-8
math_Sub_13-1,13,-,1,12
math_Sub_13-2,13,-,2,11
math_Sub_13-3,13,-,3,10
math_Sub_13-4,13,-,4,9
math_Sub_13-5,13,-,5,8
math_Sub_13-6,13,-,6,7
math_Sub_13-7,13,-,7,6
math_Sub_13-8,13,-,8,5
math_Sub_13-9,13,-,9,4
math_Sub_13-10,13,-,10,3
math_Sub_13-11,13,-,11,2
math_Sub_13-12,13,-,12,1
math_Sub_13-13,13,-,13,0
math_Sub_13-14,13,-,14,-1
math_Sub_13-15,13,-,15,-2
math_Sub_13-16,13,-,16,-3
math_Sub_13-17,13,-,17,-4
math_Sub_13-18,13,-,18,-5
math_Sub_13-19,13,-,19,-6
math_Sub_13-20,13,-,20,-7
math_Sub_14-1,14,-,1,13
math_Sub_14-2,14,-,2,12
math_Sub_14-3,14,-,3,11
math_Sub_14-4,14,-,4,10
math_Sub_14-5,14,-,5,9
math_Sub_14-6,14,-,6,8
math_Sub_14-7,14,-,7,7
math_Sub_14-8,14,-,8,6
math_Sub_14-9,14,-,9,5
math_Sub_14-10,14,-,10,4
math_Sub_14-11,14,-,11,3
math_Sub_14-12,14,-,12,2
math_Sub_14-13,14,-,13,1
math_Sub_14-14,14,-,14,0
math_Sub_14-15,14,-,15,-1
math_Sub_14-16,14,-,16,-2
math_Sub_14-17,14,-,17,-3
math_Sub_14-18,14,-,18,-4
math_Sub_14-19,14,-,19,-5
math_Sub_14-20,14,-,20,-6
math_Sub_15-1,15,-,1,14
math_Sub_15-2,15,-,2,13
math_Sub_15-3,15,-,3,12
math_Sub_15-4,15,-,4,11
math_Sub_15-5,15,-,5,10
math_Sub_15-6,15,-,6,9
math_Sub_15-7,15,-,7,8
math_Sub_15-8,15,-,8,7
math_Sub_15-9,15,-,9,6
math_Sub_15-10,15,-,10,5
math_Sub_15-11,15,-,11,4
math_Sub_15-12,15,-,12,3
math_Sub_15-13,15,-,13,2
math_Sub_15-14,15,-,14,1
math_Sub_15-15,15,-,15,0
math_Sub_15-16,15,-,16,-1
math_Sub_15-17,15,-,17,-2
math_Sub_15-18,15,-,18,-3
math_Sub_15-19,15,-,19,-4
math_Sub_15-20,15,-,20,-5
math_Sub_16-1,16,-,1,15
math_Sub_16-2,16,-,2,14
math_Sub_16-3,16,-,3,13
math_Sub_16-4,16,-,4,12
math_Sub_16-5,16,-,5,11
math_Sub_16-6,16,-,6,10
math_Sub_16-7,16,-,7,9
math_Sub_16-8,16,-,8,8
math_Sub_16-9,16,-,9,7
math_Sub_16-10,16,-,10,6
math_Sub_16-11,16,-,11,5
math_Sub_16-12,16,-,12,4
math_Sub_16-13,16,-,13,3
math_Sub_16-14,16,-,14,2
math_Sub_16-15,16,-,15,1
math_Sub_16-16,16,-,16,0
math_Sub_16-17,16,-,17,-1
math_Sub_16-18,16,-,18,-2
math_Sub_16-19,16,-,19,-3
math_Sub_16-20,16,-,20,-4
math_Sub_17-1,17,-,1,16
math_Sub_17-2,17,-,2,15
math_Sub_17-3,17,-,3,14
math_Sub_17-4,17,-,4,13
math_Sub_17-5,17,-,5,12
math_Sub_17-6,17,-,6,11
math_Sub_17-7,17,-,7,10
math_Sub_17-8,17,-,8,9
math_Sub_17-9,17,-,9,8
math_Sub_17-10,17,-,10,7
math_Sub_17-11,17,-,11,6
math_Sub_17-12,17,-,12,5
math_Sub_17-13,17,-,13,4
math_Sub_17-14,17,-,14,3
math_Sub_17-15,17,-,15,2
math_Sub_17-16,17,-,16,1
math_Sub_17-17,17,-,17,0
math_Sub_17-18,17,-,18,-1
math_Sub_17-19,17,-,19,-2
math_Sub_17-20,17,-,20,-3
math_Sub_18-1,18,-,1,17
math_Sub_18-2,18,-,2,16
math_Sub_18-3,18,-,3,15
math_Sub_18-4,18,-,4,14
math_Sub_18-5,18,-,5,13
math_Sub_18-6,18,-,6,12
math_Sub_18-7,18,-,7,11
math_Sub_18-8,18,-,8,10
math_Sub_18-9,18,-,9,9
math_Sub_18-10,18,-,10,8
math_Sub_18-11,18,-,11,7
math_Sub_18-12,18,-,12,6
math_Sub_18-13,18,-,13,5
math_Sub_18-14,18,-,14,4
math_Sub_18-15,18,-,15,3
math_Sub_18-16,18,-,16,2
math_Sub_18-17,18,-,17,1
math_Sub_18-18,18,-,18,0
math_Sub_18-19,18,-,19,-1
math_Sub_18-20,18,-,20,-2
math_Sub_19-1,19,-,1,18
math_Sub_19-2,19,-,2,17
math_Sub_19-3,19,-,3,16
math_Sub_19-4,19,-,4,15
math_Sub_19-5,19,-,5,14
math_Sub_19-6,19,-,6,13
math_Sub_19-7,19,-,7,12
math_Sub_19-8,19,-,8,11
math_Sub_19-9,19,-,9,10
math_Sub_19-10,19,-,10,9
math_Sub_19-11,19,-,11,8
math_Sub_19-12,19,-,12,7
math_Sub_19-13,19,-,13,6
math_Sub_19-14,19,-,14,5
math_Sub_19-15,19,-,15,4
math_Sub_19-16,19,-,16,3
math_Sub_19-17,19,-,17,2
math_Sub_19-18,19,-,18,1
math_Sub_19-19,19,-,19,0
math_Sub_19-20,19,-,20,-1
math_Sub_20-1,20,-,1,19
math_Sub_20-2,20,-,2,18
math_Sub_20-3,20,-,3,17
math_Sub_20-4,20,-,4,16
math_Sub_20-5,20,-,5,15
math_Sub_20-6,20,-,6,14
math_Sub_20-7,20,-,7,13
math_Sub_20-8,20,-,8,12
math_Sub_20-9,20,-,9,11
math_Sub_20-10,20,-,10,10
math_Sub_20-11,20,-,11,9
math_Sub_20-12,20,-,12,8
math_Sub_20-13,20,-,13,7
math_Sub_20-14,20,-,14,6
math_Sub_20-15,20,-,15,5
math_Sub_20-16,20,-,16,4
math_Sub_20-17,20,-,17,3
math_Sub_20-18,20,-,18,2
math_Sub_20-19,20,-,19,1
math_Sub_20-20,20,-,20,0
