LESSON 5 — Div TABLE — 400 problems — sealed for Shakti ingest
card,left,operator,right,answer
math_Div_64-8,64,/,8,8
math_Div_72-9,72,/,9,8
math_Div_80-10,80,/,10,8
math_Div_88-11,88,/,11,8
math_Div_96-12,96,/,12,8
math_Div_104-13,104,/,13,8
math_Div_112-14,112,/,14,8
math_Div_120-15,120,/,15,8
math_Div_128-16,128,/,16,8
math_Div_136-17,136,/,17,8
math_Div_144-18,144,/,18,8
math_Div_152-19,152,/,19,8
math_Div_160-20,160,/,20,8
math_Div_9-1,9,/,1,9
math_Div_18-2,18,/,2,9
math_Div_27-3,27,/,3,9
math_Div_36-4,36,/,4,9
math_Div_45-5,45,/,5,9
math_Div_54-6,54,/,6,9
math_Div_63-7,63,/,7,9
math_Div_72-8,72,/,8,9
math_Div_81-9,81,/,9,9
math_Div_90-10,90,/,10,9
math_Div_99-11,99,/,11,9
math_Div_108-12,108,/,12,9
math_Div_117-13,117,/,13,9
math_Div_126-14,126,/,14,9
math_Div_135-15,135,/,15,9
math_Div_144-16,144,/,16,9
math_Div_153-17,153,/,17,9
math_Div_162-18,162,/,18,9
math_Div_171-19,171,/,19,9
math_Div_180-20,180,/,20,9
math_Div_10-1,10,/,1,10
math_Div_20-2,20,/,2,10
math_Div_30-3,30,/,3,10
math_Div_40-4,40,/,4,10
math_Div_50-5,50,/,5,10
math_Div_60-6,60,/,6,10
math_Div_70-7,70,/,7,10
math_Div_80-8,80,/,8,10
math_Div_90-9,90,/,9,10
math_Div_100-10,100,/,10,10
math_Div_110-11,110,/,11,10
math_Div_120-12,120,/,12,10
math_Div_130-13,130,/,13,10
math_Div_140-14,140,/,14,10
math_Div_150-15,150,/,15,10
math_Div_160-16,160,/,16,10
math_Div_170-17,170,/,17,10
math_Div_180-18,180,/,18,10
math_Div_190-19,190,/,19,10
math_Div_200-20,200,/,20,10
math_Div_11-1,11,/,1,11
math_Div_22-2,22,/,2,11
math_Div_33-3,33,/,3,11
math_Div_44-4,44,/,4,11
math_Div_55-5,55,/,5,11
math_Div_66-6,66,/,6,11
math_Div_77-7,77,/,7,11
math_Div_88-8,88,/,8,11
math_Div_99-9,99,/,9,11
math_Div_110-10,110,/,10,11
math_Div_121-11,121,/,11,11
math_Div_132-12,132,/,12,11
math_Div_143-13,143,/,13,11
math_Div_154-14,154,/,14,11
math_Div_165-15,165,/,15,11
math_Div_176-16,176,/,16,11
math_Div_187-17,187,/,17,11
math_Div_198-18,198,/,18,11
math_Div_209-19,209,/,19,11
math_Div_220-20,220,/,20,11
math_Div_12-1,12,/,1,12
math_Div_24-2,24,/,2,12
math_Div_36-3,36,/,3,12
math_Div_48-4,48,/,4,12
math_Div_60-5,60,/,5,12
math_Div_72-6,72,/,6,12
math_Div_84-7,84,/,7,12
math_Div_96-8,96,/,8,12
math_Div_108-9,108,/,9,12
math_Div_120-10,120,/,10,12
math_Div_132-11,132,/,11,12
math_Div_144-12,144,/,12,12
math_Div_156-13,156,/,13,12
math_Div_168-14,168,/,14,12
math_Div_180-15,180,/,15,12
math_Div_192-16,192,/,16,12
math_Div_204-17,204,/,17,12
math_Div_216-18,216,/,18,12
math_Div_228-19,228,/,19,12
math_Div_240-20,240,/,20,12
math_Div_13-1,13,/,1,13
math_Div_26-2,26,/,2,13
math_Div_39-3,39,/,3,13
math_Div_52-4,52,/,4,13
math_Div_65-5,65,/,5,13
math_Div_78-6,78,/,6,13
math_Div_91-7,91,/,7,13
math_Div_104-8,104,/,8,13
math_Div_117-9,117,/,9,13
math_Div_130-10,130,/,10,13
math_Div_143-11,143,/,11,13
math_Div_156-12,156,/,12,13
math_Div_169-13,169,/,13,13
math_Div_182-14,182,/,14,13
math_Div_195-15,195,/,15,13
math_Div_208-16,208,/,16,13
math_Div_221-17,221,/,17,13
math_Div_234-18,234,/,18,13
math_Div_247-19,247,/,19,13
math_Div_260-20,260,/,20,13
math_Div_14-1,14,/,1,14
math_Div_28-2,28,/,2,14
math_Div_42-3,42,/,3,14
math_Div_56-4,56,/,4,14
math_Div_70-5,70,/,5,14
math_Div_84-6,84,/,6,14
math_Div_98-7,98,/,7,14
math_Div_112-8,112,/,8,14
math_Div_126-9,126,/,9,14
math_Div_140-10,140,/,10,14
math_Div_154-11,154,/,11,14
math_Div_168-12,168,/,12,14
math_Div_182-13,182,/,13,14
math_Div_196-14,196,/,14,14
math_Div_210-15,210,/,15,14
math_Div_224-16,224,/,16,14
math_Div_238-17,238,/,17,14
math_Div_252-18,252,/,18,14
math_Div_266-19,266,/,19,14
math_Div_280-20,280,/,20,14
math_Div_15-1,15,/,1,15
math_Div_30-2,30,/,2,15
math_Div_45-3,45,/,3,15
math_Div_60-4,60,/,4,15
math_Div_75-5,75,/,5,15
math_Div_90-6,90,/,6,15
math_Div_105-7,105,/,7,15
math_Div_120-8,120,/,8,15
math_Div_135-9,135,/,9,15
math_Div_150-10,150,/,10,15
math_Div_165-11,165,/,11,15
math_Div_180-12,180,/,12,15
math_Div_195-13,195,/,13,15
math_Div_210-14,210,/,14,15
math_Div_225-15,225,/,15,15
math_Div_240-16,240,/,16,15
math_Div_255-17,255,/,17,15
math_Div_270-18,270,/,18,15
math_Div_285-19,285,/,19,15
math_Div_300-20,300,/,20,15
math_Div_16-1,16,/,1,16
math_Div_32-2,32,/,2,16
math_Div_48-3,48,/,3,16
math_Div_64-4,64,/,4,16
math_Div_80-5,80,/,5,16
math_Div_96-6,96,/,6,16
math_Div_112-7,112,/,7,16
math_Div_128-8,128,/,8,16
math_Div_144-9,144,/,9,16
math_Div_160-10,160,/,10,16
math_Div_176-11,176,/,11,16
math_Div_192-12,192,/,12,16
math_Div_208-13,208,/,13,16
math_Div_224-14,224,/,14,16
math_Div_240-15,240,/,15,16
math_Div_256-16,256,/,16,16
math_Div_272-17,272,/,17,16
math_Div_288-18,288,/,18,16
math_Div_304-19,304,/,19,16
math_Div_320-20,320,/,20,16
math_Div_17-1,17,/,1,17
math_Div_34-2,34,/,2,17
math_Div_51-3,51,/,3,17
math_Div_68-4,68,/,4,17
math_Div_85-5,85,/,5,17
math_Div_102-6,102,/,6,17
math_Div_119-7,119,/,7,17
math_Div_136-8,136,/,8,17
math_Div_153-9,153,/,9,17
math_Div_170-10,170,/,10,17
math_Div_187-11,187,/,11,17
math_Div_204-12,204,/,12,17
math_Div_221-13,221,/,13,17
math_Div_238-14,238,/,14,17
math_Div_255-15,255,/,15,17
math_Div_272-16,272,/,16,17
math_Div_289-17,289,/,17,17
math_Div_306-18,306,/,18,17
math_Div_323-19,323,/,19,17
math_Div_340-20,340,/,20,17
math_Div_18-1,18,/,1,18
math_Div_36-2,36,/,2,18
math_Div_54-3,54,/,3,18
math_Div_72-4,72,/,4,18
math_Div_90-5,90,/,5,18
math_Div_108-6,108,/,6,18
math_Div_126-7,126,/,7,18
math_Div_144-8,144,/,8,18
math_Div_162-9,162,/,9,18
math_Div_180-10,180,/,10,18
math_Div_198-11,198,/,11,18
math_Div_216-12,216,/,12,18
math_Div_234-13,234,/,13,18
math_Div_252-14,252,/,14,18
math_Div_270-15,270,/,15,18
math_Div_288-16,288,/,16,18
math_Div_306-17,306,/,17,18
math_Div_324-18,324,/,18,18
math_Div_342-19,342,/,19,18
math_Div_360-20,360,/,20,18
math_Div_19-1,19,/,1,19
math_Div_38-2,38,/,2,19
math_Div_57-3,57,/,3,19
math_Div_76-4,76,/,4,19
math_Div_95-5,95,/,5,19
math_Div_114-6,114,/,6,19
math_Div_133-7,133,/,7,19
math_Div_152-8,152,/,8,19
math_Div_171-9,171,/,9,19
math_Div_190-10,190,/,10,19
math_Div_209-11,209,/,11,19
math_Div_228-12,228,/,12,19
math_Div_247-13,247,/,13,19
math_Div_266-14,266,/,14,19
math_Div_285-15,285,/,15,19
math_Div_304-16,304,/,16,19
math_Div_323-17,323,/,17,19
math_Div_342-18,342,/,18,19
math_Div_361-19,361,/,19,19
math_Div_380-20,380,/,20,19
math_Div_20-1,20,/,1,20
math_Div_40-2,40,/,2,20
math_Div_60-3,60,/,3,20
math_Div_80-4,80,/,4,20
math_Div_100-5,100,/,5,20
math_Div_120-6,120,/,6,20
math_Div_140-7,140,/,7,20
math_Div_160-8,160,/,8,20
math_Div_180-9,180,/,9,20
math_Div_200-10,200,/,10,20
math_Div_220-11,220,/,11,20
math_Div_240-12,240,/,12,20
math_Div_260-13,260,/,13,20
math_Div_280-14,280,/,14,20
math_Div_300-15,300,/,15,20
math_Div_320-16,320,/,16,20
math_Div_340-17,340,/,17,20
math_Div_360-18,360,/,18,20
math_Div_380-19,380,/,19,20
math_Div_400-20,400,/,20,20
