LESSON 5 — Add TABLE — 400 problems — sealed for Shakti ingest
card,left,operator,right,answer
math_Add_5-10,5,+,10,15
math_Add_5-11,5,+,11,16
math_Add_5-12,5,+,12,17
math_Add_5-13,5,+,13,18
math_Add_5-14,5,+,14,19
math_Add_5-15,5,+,15,20
math_Add_5-16,5,+,16,21
math_Add_5-17,5,+,17,22
math_Add_5-18,5,+,18,23
math_Add_5-19,5,+,19,24
math_Add_5-20,5,+,20,25
math_Add_6-1,6,+,1,7
math_Add_6-2,6,+,2,8
math_Add_6-3,6,+,3,9
math_Add_6-4,6,+,4,10
math_Add_6-5,6,+,5,11
math_Add_6-6,6,+,6,12
math_Add_6-7,6,+,7,13
math_Add_6-8,6,+,8,14
math_Add_6-9,6,+,9,15
math_Add_6-10,6,+,10,16
math_Add_6-11,6,+,11,17
math_Add_6-12,6,+,12,18
math_Add_6-13,6,+,13,19
math_Add_6-14,6,+,14,20
math_Add_6-15,6,+,15,21
math_Add_6-16,6,+,16,22
math_Add_6-17,6,+,17,23
math_Add_6-18,6,+,18,24
math_Add_6-19,6,+,19,25
math_Add_6-20,6,+,20,26
math_Add_7-1,7,+,1,8
math_Add_7-2,7,+,2,9
math_Add_7-3,7,+,3,10
math_Add_7-4,7,+,4,11
math_Add_7-5,7,+,5,12
math_Add_7-6,7,+,6,13
math_Add_7-7,7,+,7,14
math_Add_7-8,7,+,8,15
math_Add_7-9,7,+,9,16
math_Add_7-10,7,+,10,17
math_Add_7-11,7,+,11,18
math_Add_7-12,7,+,12,19
math_Add_7-13,7,+,13,20
math_Add_7-14,7,+,14,21
math_Add_7-15,7,+,15,22
math_Add_7-16,7,+,16,23
math_Add_7-17,7,+,17,24
math_Add_7-18,7,+,18,25
math_Add_7-19,7,+,19,26
math_Add_7-20,7,+,20,27
math_Add_8-1,8,+,1,9
math_Add_8-2,8,+,2,10
math_Add_8-3,8,+,3,11
math_Add_8-4,8,+,4,12
math_Add_8-5,8,+,5,13
math_Add_8-6,8,+,6,14
math_Add_8-7,8,+,7,15
math_Add_8-8,8,+,8,16
math_Add_8-9,8,+,9,17
math_Add_8-10,8,+,10,18
math_Add_8-11,8,+,11,19
math_Add_8-12,8,+,12,20
math_Add_8-13,8,+,13,21
math_Add_8-14,8,+,14,22
math_Add_8-15,8,+,15,23
math_Add_8-16,8,+,16,24
math_Add_8-17,8,+,17,25
math_Add_8-18,8,+,18,26
math_Add_8-19,8,+,19,27
math_Add_8-20,8,+,20,28
math_Add_9-1,9,+,1,10
math_Add_9-2,9,+,2,11
math_Add_9-3,9,+,3,12
math_Add_9-4,9,+,4,13
math_Add_9-5,9,+,5,14
math_Add_9-6,9,+,6,15
math_Add_9-7,9,+,7,16
math_Add_9-8,9,+,8,17
math_Add_9-9,9,+,9,18
math_Add_9-10,9,+,10,19
math_Add_9-11,9,+,11,20
math_Add_9-12,9,+,12,21
math_Add_9-13,9,+,13,22
math_Add_9-14,9,+,14,23
math_Add_9-15,9,+,15,24
math_Add_9-16,9,+,16,25
math_Add_9-17,9,+,17,26
math_Add_9-18,9,+,18,27
math_Add_9-19,9,+,19,28
math_Add_9-20,9,+,20,29
math_Add_10-1,10,+,1,11
math_Add_10-2,10,+,2,12
math_Add_10-3,10,+,3,13
math_Add_10-4,10,+,4,14
math_Add_10-5,10,+,5,15
math_Add_10-6,10,+,6,16
math_Add_10-7,10,+,7,17
math_Add_10-8,10,+,8,18
math_Add_10-9,10,+,9,19
math_Add_10-10,10,+,10,20
math_Add_10-11,10,+,11,21
math_Add_10-12,10,+,12,22
math_Add_10-13,10,+,13,23
math_Add_10-14,10,+,14,24
math_Add_10-15,10,+,15,25
math_Add_10-16,10,+,16,26
math_Add_10-17,10,+,17,27
math_Add_10-18,10,+,18,28
math_Add_10-19,10,+,19,29
math_Add_10-20,10,+,20,30
math_Add_11-1,11,+,1,12
math_Add_11-2,11,+,2,13
math_Add_11-3,11,+,3,14
math_Add_11-4,11,+,4,15
math_Add_11-5,11,+,5,16
math_Add_11-6,11,+,6,17
math_Add_11-7,11,+,7,18
math_Add_11-8,11,+,8,19
math_Add_11-9,11,+,9,20
math_Add_11-10,11,+,10,21
math_Add_11-11,11,+,11,22
math_Add_11-12,11,+,12,23
math_Add_11-13,11,+,13,24
math_Add_11-14,11,+,14,25
math_Add_11-15,11,+,15,26
math_Add_11-16,11,+,16,27
math_Add_11-17,11,+,17,28
math_Add_11-18,11,+,18,29
math_Add_11-19,11,+,19,30
math_Add_11-20,11,+,20,31
math_Add_12-1,12,+,1,13
math_Add_12-2,12,+,2,14
math_Add_12-3,12,+,3,14
math_Add_12-4,12,+,4,16
math_Add_12-5,12,+,5,17
math_Add_12-6,12,+,6,18
math_Add_12-7,12,+,7,19
math_Add_12-8,12,+,8,20
math_Add_12-9,12,+,9,21
math_Add_12-10,12,+,10,22
math_Add_12-11,12,+,11,23
math_Add_12-12,12,+,12,24
math_Add_12-13,12,+,13,25
math_Add_12-14,12,+,14,26
math_Add_12-15,12,+,15,27
math_Add_12-16,12,+,16,28
math_Add_12-17,12,+,17,29
math_Add_12-18,12,+,18,30
math_Add_12-19,12,+,19,31
math_Add_12-20,12,+,20,32
math_Add_13-1,13,+,1,14
math_Add_13-2,13,+,2,15
math_Add_13-3,13,+,3,16
math_Add_13-4,13,+,4,17
math_Add_13-5,13,+,5,18
math_Add_13-6,13,+,6,19
math_Add_13-7,13,+,7,20
math_Add_13-8,13,+,8,21
math_Add_13-9,13,+,9,22
math_Add_13-10,13,+,10,23
math_Add_13-11,13,+,11,24
math_Add_13-12,13,+,12,25
math_Add_13-13,13,+,13,26
math_Add_13-14,13,+,14,27
math_Add_13-15,13,+,15,28
math_Add_13-16,13,+,16,29
math_Add_13-17,13,+,17,30
math_Add_13-18,13,+,18,31
math_Add_13-19,13,+,19,32
math_Add_13-20,13,+,20,33
math_Add_14-1,14,+,1,15
math_Add_14-2,14,+,2,16
math_Add_14-3,14,+,3,17
math_Add_14-4,14,+,4,18
math_Add_14-5,14,+,5,19
math_Add_14-6,14,+,6,20
math_Add_14-7,14,+,7,21
math_Add_14-8,14,+,8,22
math_Add_14-9,14,+,9,23
math_Add_14-10,14,+,10,24
math_Add_14-11,14,+,11,25
math_Add_14-12,14,+,12,26
math_Add_14-13,14,+,13,27
math_Add_14-14,14,+,14,28
math_Add_14-15,14,+,15,29
math_Add_14-16,14,+,16,30
math_Add_14-17,14,+,17,31
math_Add_14-18,14,+,18,32
math_Add_14-19,14,+,19,33
math_Add_14-20,14,+,20,34
math_Add_15-1,15,+,1,16
math_Add_15-2,15,+,2,17
math_Add_15-3,15,+,3,18
math_Add_15-4,15,+,4,19
math_Add_15-5,15,+,5,20
math_Add_15-6,15,+,6,21
math_Add_15-7,15,+,7,22
math_Add_15-8,15,+,8,23
math_Add_15-9,15,+,9,24
math_Add_15-10,15,+,10,25
math_Add_15-11,15,+,11,26
math_Add_15-12,15,+,12,27
math_Add_15-13,15,+,13,28
math_Add_15-14,15,+,14,29
math_Add_15-15,15,+,15,30
math_Add_15-16,15,+,16,31
math_Add_15-17,15,+,17,32
math_Add_15-18,15,+,18,33
math_Add_15-19,15,+,19,34
math_Add_15-20,15,+,20,35
math_Add_16-1,16,+,1,17
math_Add_16-2,16,+,2,18
math_Add_16-3,16,+,3,19
math_Add_16-4,16,+,4,20
math_Add_16-5,16,+,5,21
math_Add_16-6,16,+,6,22
math_Add_16-7,16,+,7,23
math_Add_16-8,16,+,8,24
math_Add_16-9,16,+,9,25
math_Add_16-10,16,+,10,26
math_Add_16-11,16,+,11,27
math_Add_16-12,16,+,12,28
math_Add_16-13,16,+,13,29
math_Add_16-14,16,+,14,30
math_Add_16-15,16,+,15,31
math_Add_16-16,16,+,16,32
math_Add_16-17,16,+,17,33
math_Add_16-18,16,+,18,34
math_Add_16-19,16,+,19,35
math_Add_16-20,16,+,20,36
math_Add_17-1,17,+,1,18
math_Add_17-2,17,+,2,19
math_Add_17-3,17,+,3,20
math_Add_17-4,17,+,4,21
math_Add_17-5,17,+,5,22
math_Add_17-6,17,+,6,23
math_Add_17-7,17,+,7,24
math_Add_17-8,17,+,8,25
math_Add_17-9,17,+,9,26
math_Add_17-10,17,+,10,27
math_Add_17-11,17,+,11,28
math_Add_17-12,17,+,12,29
math_Add_17-13,17,+,13,30
math_Add_17-14,17,+,14,31
math_Add_17-15,17,+,15,32
math_Add_17-16,17,+,16,33
math_Add_17-17,17,+,17,34
math_Add_17-18,17,+,18,35
math_Add_17-19,17,+,19,36
math_Add_17-20,17,+,20,37
math_Add_18-1,18,+,1,19
math_Add_18-2,18,+,2,20
math_Add_18-3,18,+,3,21
math_Add_18-4,18,+,4,22
math_Add_18-5,18,+,5,23
math_Add_18-6,18,+,6,24
math_Add_18-7,18,+,7,25
math_Add_18-8,18,+,8,26
math_Add_18-9,18,+,9,27
math_Add_18-10,18,+,10,28
math_Add_18-11,18,+,11,29
math_Add_18-12,18,+,12,30
math_Add_18-13,18,+,13,31
math_Add_18-14,18,+,14,32
math_Add_18-15,18,+,15,33
math_Add_18-16,18,+,16,34
math_Add_18-17,18,+,17,35
math_Add_18-18,18,+,18,36
math_Add_18-19,18,+,19,37
math_Add_18-20,18,+,20,38
math_Add_19-1,19,+,1,20
math_Add_19-2,19,+,2,21
math_Add_19-3,19,+,3,22
math_Add_19-4,19,+,4,23
math_Add_19-5,19,+,5,24
math_Add_19-6,19,+,6,25
math_Add_19-7,19,+,7,26
math_Add_19-8,19,+,8,27
math_Add_19-9,19,+,9,28
math_Add_19-10,19,+,10,29
math_Add_19-11,19,+,11,30
math_Add_19-12,19,+,12,31
math_Add_19-13,19,+,13,32
math_Add_19-14,19,+,14,33
math_Add_19-15,19,+,15,34
math_Add_19-16,19,+,16,35
math_Add_19-17,19,+,17,36
math_Add_19-18,19,+,19,37
math_Add_19-20,19,+,20,39
math_Add_20-1,20,+,1,21
math_Add_20-2,20,+,2,22
math_Add_20-3,20,+,3,23
math_Add_20-4,20,+,4,24
math_Add_20-5,20,+,5,25
math_Add_20-6,20,+,6,26
math_Add_20-7,20,+,7,27
math_Add_20-8,20,+,8,28
math_Add_20-9,20,+,9,29
math_Add_20-10,20,+,10,30
math_Add_20-11,20,+,11,31
math_Add_20-12,20,+,12,32
math_Add_20-13,20,+,13,33
math_Add_20-14,20,+,14,34
math_Add_20-15,20,+,15,35
math_Add_20-16,20,+,16,36
math_Add_20-17,20,+,17,37
math_Add_20-18,20,+,18,38
math_Add_20-19,20,+,19,39
math_Add_20-20,20,+,20,40
